,dataset,recommended_clf
0,1541_volcanoes-d4,linear_discriminant
1,23_cmc,gradient_boosting
2,1011_ecoli,linear_discriminant
3,40706_parity5_plus_5,decision_tree
4,1065_kc3,gaussian_nb
5,835_analcatdata_vehicle,random_forest
6,779_fri_c1_500_25,gradient_boosting
7,933_fri_c4_250_25,gradient_boosting
8,721_pwLinear,logistic_regression
9,40693_xd6,random_forest
10,864_sleuth_ex2015,linear_discriminant
11,37_diabetes,linear_discriminant
12,910_fri_c1_1000_10,gradient_boosting
13,853_boston,gradient_boosting
14,40975_car,gradient_boosting
15,1558_bank-marketing,linear_discriminant
16,819_delta_elevators,gradient_boosting
17,1475_first-order-theorem-proving,random_forest
18,1026_grub-damage,kneighbors
19,735_cpu_small,random_forest
20,729_visualizing_slope,decision_tree
21,1488_parkinsons,gradient_boosting
22,902_sleuth_case2002,linear_discriminant
23,464_prnn_synth,logistic_regression
24,848_schlvote,random_forest
25,11_balance-scale,logistic_regression
26,1551_autoUniv-au6-400,decision_tree
27,1050_pc3,decision_tree
28,791_diabetes_numeric,logistic_regression
29,504_analcatdata_supreme,gradient_boosting
30,888_fri_c0_500_50,gradient_boosting
31,375_JapaneseVowels,random_forest
32,182_satimage,random_forest
33,887_mbagrade,logistic_regression
34,40666_clean2,linear_discriminant
35,882_pollution,random_forest
36,40711_cleveland-nominal,gradient_boosting
37,450_analcatdata_lawsuit,random_forest
38,1563_dbworld-subjects-stemmed,logistic_regression
39,794_fri_c2_250_25,gradient_boosting
40,803_delta_ailerons,random_forest
41,40997_jungle_chess_2pcs_endgame_panther_lion,random_forest
42,1068_pc1,decision_tree
43,1048_jEdit_4.2_4.3,random_forest
44,1228_nki70,gradient_boosting
45,467_analcatdata_japansolvent,random_forest
46,905_chscase_adopt,gaussian_nb
47,995_mfeat-zernike,kneighbors
48,337_SPECTF,random_forest
49,911_fri_c2_250_5,random_forest
50,1412_lungcancer_GSE31210,gaussian_nb
51,777_sleuth_ex1714,random_forest
52,1015_confidence,decision_tree
53,1413_MyIris,kneighbors
54,1526_wall-robot-navigation,decision_tree
55,40981_Australian,random_forest
56,796_cpu,gaussian_nb
57,461_analcatdata_creditscore,gradient_boosting
58,458_analcatdata_authorship,linear_discriminant
59,890_cloud,gradient_boosting
60,1525_wall-robot-navigation,decision_tree
61,947_arsenic-male-bladder,gaussian_nb
62,836_sleuth_case1102,linear_discriminant
63,770_strikes,gradient_boosting
64,1029_LEV,decision_tree
65,753_wisconsin,logistic_regression
66,40686_solar-flare,random_forest
67,40708_allrep,decision_tree
68,40683_postoperative-patient-data,decision_tree
69,448_analcatdata_boxing1,gradient_boosting
70,16_mfeat-karhunen,kneighbors
71,1501_semeion,random_forest
72,950_arsenic-female-lung,linear_discriminant
73,744_fri_c3_250_5,random_forest
74,797_fri_c4_1000_50,gradient_boosting
75,811_rmftsa_ctoarrivals,gradient_boosting
76,743_fri_c1_1000_5,random_forest
77,1099_EgyptianSkulls,logistic_regression
78,893_visualizing_hamster,gradient_boosting
79,912_fri_c2_1000_5,svm
80,778_bodyfat,gradient_boosting
81,969_iris,gaussian_nb
82,994_vehicle,gradient_boosting
83,1117_desharnais,logistic_regression
84,715_fri_c3_1000_25,gradient_boosting
85,928_rabe_97,random_forest
86,1566_hill-valley,logistic_regression
87,934_socmob,gradient_boosting
88,1565_heart-h,linear_discriminant
89,329_hayes-roth,decision_tree
90,1480_ilpd,gaussian_nb
91,813_fri_c3_1000_5,random_forest
92,758_analcatdata_election2000,kneighbors
93,714_fruitfly,svm
94,1528_volcanoes-a2,decision_tree
95,814_chscase_vine2,gradient_boosting
96,1499_seeds,linear_discriminant
97,838_fri_c4_500_25,gradient_boosting
98,736_visualizing_environmental,random_forest
99,925_visualizing_galaxy,decision_tree
100,875_analcatdata_chlamydia,gaussian_nb
101,987_collins,decision_tree
102,918_fri_c4_250_50,gradient_boosting
103,951_arsenic-male-lung,random_forest
104,1560_cardiotocography,gaussian_nb
105,724_analcatdata_vineyard,gradient_boosting
106,946_visualizing_ethanol,decision_tree
107,891_sleuth_case1202,gaussian_nb
108,41007_jungle_chess_2pcs_endgame_lion_lion,random_forest
109,737_space_ga,linear_discriminant
110,740_fri_c3_1000_10,gradient_boosting
111,920_fri_c2_500_50,gradient_boosting
112,1557_abalone,gradient_boosting
113,895_chscase_geyser1,linear_discriminant
114,40_sonar,random_forest
115,750_pm10,random_forest
116,475_analcatdata_germangss,logistic_regression
117,336_SPECT,gaussian_nb
118,828_fri_c4_100_100,gradient_boosting
119,1020_mfeat-karhunen,kneighbors
120,1460_banana,svm
121,732_fri_c0_250_50,gradient_boosting
122,764_analcatdata_apnea3,linear_discriminant
123,862_sleuth_ex2016,gaussian_nb
124,22_mfeat-zernike,linear_discriminant
125,906_chscase_census5,gaussian_nb
126,1466_cardiotocography,gradient_boosting
127,774_disclosure_x_bias,linear_discriminant
128,40671_ecoli,linear_discriminant
129,717_rmftsa_ladata,gradient_boosting
130,1520_robot-failures-lp5,random_forest
131,1530_volcanoes-a4,decision_tree
132,40983_wilt,gradient_boosting
133,54_vehicle,linear_discriminant
134,1055_cm1_req,decision_tree
135,1489_phoneme,random_forest
136,775_fri_c2_100_25,random_forest
137,1061_ar4,gaussian_nb
138,834_fri_c4_250_100,gradient_boosting
139,817_diggle_table_a1,svm
140,800_pyrim,decision_tree
141,938_sleuth_ex1221,random_forest
142,31_credit-g,gaussian_nb
143,788_triazines,decision_tree
144,40660_analcatdata_fraud,logistic_regression
145,1167_pc1_req,gradient_boosting
146,40690_threeOf9,gradient_boosting
147,298_coil2000,decision_tree
148,41000_jungle_chess_2pcs_endgame_panther_elephant,decision_tree
149,40900_Satellite,gaussian_nb
150,1512_heart-long-beach,random_forest
151,866_fri_c2_1000_50,gradient_boosting
152,785_wind_correlations,gaussian_nb
153,1519_robot-failures-lp4,gaussian_nb
154,759_analcatdata_olympic2000,decision_tree
155,40474_thyroid-allbp,linear_discriminant
156,1496_ringnorm,gaussian_nb
157,927_hutsof99_child_witness,linear_discriminant
158,804_hutsof99_logis,gaussian_nb
159,971_mfeat-fourier,kneighbors
160,773_fri_c0_250_25,gradient_boosting
161,1049_pc4,decision_tree
162,28_optdigits,kneighbors
163,446_prnn_crabs,linear_discriminant
164,763_fri_c0_250_10,gaussian_nb
165,1100_PopularKids,gaussian_nb
166,463_backache,decision_tree
167,827_disclosure_x_noise,linear_discriminant
168,761_cpu_act,gradient_boosting
169,748_analcatdata_wildcat,random_forest
170,790_elusage,logistic_regression
171,762_fri_c2_100_10,linear_discriminant
172,1490_planning-relax,svm
173,459_analcatdata_asbestos,random_forest
174,1498_sa-heart,gaussian_nb
175,36_segment,gradient_boosting
176,917_fri_c1_1000_25,gradient_boosting
177,997_balance-scale,svm
178,792_fri_c2_500_5,gradient_boosting
179,40999_jungle_chess_2pcs_endgame_elephant_elephant,decision_tree
180,768_fri_c3_100_25,random_forest
181,1508_user-knowledge,linear_discriminant
182,921_analcatdata_seropositive,random_forest
183,1600_SPECTF,gaussian_nb
184,845_fri_c0_1000_10,gradient_boosting
185,801_chscase_funds,linear_discriminant
186,1073_jEdit_4.0_4.2,random_forest
187,1473_fertility,gaussian_nb
188,849_fri_c0_1000_25,gradient_boosting
189,974_hayes-roth,gradient_boosting
190,1025_analcatdata_germangss,gradient_boosting
191,859_analcatdata_gviolence,linear_discriminant
192,48_tae,random_forest
193,973_wine,random_forest
194,1462_banknote-authentication,svm
195,789_fri_c1_100_10,gradient_boosting
196,377_synthetic_control,kneighbors
197,472_lupus,kneighbors
198,749_fri_c3_500_5,svm
199,40496_LED-display-domain-7digit,logistic_regression
200,769_fri_c1_250_50,gradient_boosting
201,793_fri_c3_250_10,gradient_boosting
202,767_analcatdata_apnea1,gradient_boosting
203,731_baskball,linear_discriminant
204,1115_teachingAssistant,gradient_boosting
205,812_fri_c1_100_25,gradient_boosting
206,4153_Smartphone-Based_Recognition_of_Human_Activities,random_forest
207,1006_lymph,linear_discriminant
208,908_chscase_census3,linear_discriminant
209,1507_twonorm,linear_discriminant
210,941_lowbwt,gradient_boosting
211,1066_kc1-binary,random_forest
212,40701_churn,gradient_boosting
213,742_fri_c4_500_100,gradient_boosting
214,1524_vertebra-column,kneighbors
215,1504_steel-plates-fault,decision_tree
216,14_mfeat-fourier,kneighbors
217,807_kin8nm,svm
