,dataset,recommended_clf
0,1541_volcanoes-d4,decision_tree
1,23_cmc,gradient_boosting
2,1011_ecoli,kneighbors
3,40706_parity5_plus_5,decision_tree
4,1065_kc3,gaussian_nb
5,835_analcatdata_vehicle,gaussian_nb
6,779_fri_c1_500_25,random_forest
7,933_fri_c4_250_25,gradient_boosting
8,721_pwLinear,svm
9,40693_xd6,gradient_boosting
10,864_sleuth_ex2015,linear_discriminant
11,37_diabetes,logistic_regression
12,910_fri_c1_1000_10,gradient_boosting
13,853_boston,random_forest
14,40975_car,gradient_boosting
15,1558_bank-marketing,linear_discriminant
16,819_delta_elevators,gradient_boosting
17,1475_first-order-theorem-proving,random_forest
18,1026_grub-damage,gaussian_nb
19,735_cpu_small,gradient_boosting
20,729_visualizing_slope,decision_tree
21,1488_parkinsons,gradient_boosting
22,902_sleuth_case2002,logistic_regression
23,464_prnn_synth,kneighbors
24,848_schlvote,random_forest
25,11_balance-scale,logistic_regression
26,1551_autoUniv-au6-400,decision_tree
27,1050_pc3,decision_tree
28,791_diabetes_numeric,linear_discriminant
29,504_analcatdata_supreme,gradient_boosting
30,888_fri_c0_500_50,gradient_boosting
31,375_JapaneseVowels,random_forest
32,182_satimage,random_forest
33,887_mbagrade,gaussian_nb
34,40666_clean2,linear_discriminant
35,882_pollution,random_forest
36,40711_cleveland-nominal,linear_discriminant
37,450_analcatdata_lawsuit,gradient_boosting
38,1563_dbworld-subjects-stemmed,logistic_regression
39,794_fri_c2_250_25,random_forest
40,803_delta_ailerons,random_forest
41,40997_jungle_chess_2pcs_endgame_panther_lion,gradient_boosting
42,1068_pc1,decision_tree
43,1048_jEdit_4.2_4.3,kneighbors
44,1228_nki70,gradient_boosting
45,467_analcatdata_japansolvent,linear_discriminant
46,905_chscase_adopt,gaussian_nb
47,995_mfeat-zernike,kneighbors
48,337_SPECTF,gradient_boosting
49,911_fri_c2_250_5,random_forest
50,1412_lungcancer_GSE31210,gradient_boosting
51,777_sleuth_ex1714,decision_tree
52,1015_confidence,gaussian_nb
53,1413_MyIris,kneighbors
54,1526_wall-robot-navigation,random_forest
55,40981_Australian,random_forest
56,796_cpu,gaussian_nb
57,461_analcatdata_creditscore,random_forest
58,458_analcatdata_authorship,linear_discriminant
59,890_cloud,decision_tree
60,1525_wall-robot-navigation,random_forest
61,947_arsenic-male-bladder,logistic_regression
62,836_sleuth_case1102,kneighbors
63,770_strikes,gradient_boosting
64,1029_LEV,gradient_boosting
65,753_wisconsin,logistic_regression
66,40686_solar-flare,random_forest
67,40708_allrep,gradient_boosting
68,40683_postoperative-patient-data,gaussian_nb
69,448_analcatdata_boxing1,linear_discriminant
70,16_mfeat-karhunen,kneighbors
71,1501_semeion,random_forest
72,950_arsenic-female-lung,linear_discriminant
73,744_fri_c3_250_5,random_forest
74,797_fri_c4_1000_50,gradient_boosting
75,811_rmftsa_ctoarrivals,linear_discriminant
76,743_fri_c1_1000_5,random_forest
77,1099_EgyptianSkulls,logistic_regression
78,893_visualizing_hamster,gradient_boosting
79,912_fri_c2_1000_5,svm
80,778_bodyfat,decision_tree
81,969_iris,random_forest
82,994_vehicle,random_forest
83,1117_desharnais,logistic_regression
84,715_fri_c3_1000_25,gradient_boosting
85,928_rabe_97,linear_discriminant
86,1566_hill-valley,logistic_regression
87,934_socmob,gradient_boosting
88,1565_heart-h,linear_discriminant
89,329_hayes-roth,gradient_boosting
90,1480_ilpd,gaussian_nb
