,dataset,recommended_clf
0,1541_volcanoes-d4,decision_tree
1,23_cmc,gradient_boosting
2,1011_ecoli,linear_discriminant
3,40706_parity5_plus_5,decision_tree
4,1065_kc3,gaussian_nb
5,835_analcatdata_vehicle,random_forest
6,779_fri_c1_500_25,gradient_boosting
7,933_fri_c4_250_25,gradient_boosting
8,721_pwLinear,random_forest
9,40693_xd6,random_forest
10,864_sleuth_ex2015,logistic_regression
11,37_diabetes,logistic_regression
12,910_fri_c1_1000_10,random_forest
13,853_boston,gradient_boosting
14,40975_car,gradient_boosting
15,1558_bank-marketing,decision_tree
16,819_delta_elevators,linear_discriminant
17,1475_first-order-theorem-proving,random_forest
18,1026_grub-damage,kneighbors
19,735_cpu_small,gradient_boosting
20,729_visualizing_slope,logistic_regression
21,1488_parkinsons,gradient_boosting
22,902_sleuth_case2002,logistic_regression
23,464_prnn_synth,kneighbors
24,848_schlvote,gradient_boosting
25,11_balance-scale,svm
26,1551_autoUniv-au6-400,gradient_boosting
27,1050_pc3,decision_tree
28,791_diabetes_numeric,random_forest
29,504_analcatdata_supreme,gradient_boosting
30,888_fri_c0_500_50,gradient_boosting
31,375_JapaneseVowels,random_forest
32,182_satimage,kneighbors
33,887_mbagrade,logistic_regression
34,40666_clean2,random_forest
35,882_pollution,random_forest
36,40711_cleveland-nominal,gradient_boosting
37,450_analcatdata_lawsuit,logistic_regression
38,1563_dbworld-subjects-stemmed,gaussian_nb
39,794_fri_c2_250_25,gradient_boosting
40,803_delta_ailerons,gradient_boosting
41,40997_jungle_chess_2pcs_endgame_panther_lion,gradient_boosting
42,1068_pc1,gradient_boosting
43,1048_jEdit_4.2_4.3,random_forest
44,1228_nki70,random_forest
45,467_analcatdata_japansolvent,linear_discriminant
46,905_chscase_adopt,random_forest
47,995_mfeat-zernike,kneighbors
48,337_SPECTF,random_forest
49,911_fri_c2_250_5,random_forest
50,1412_lungcancer_GSE31210,linear_discriminant
51,777_sleuth_ex1714,decision_tree
52,1015_confidence,gaussian_nb
53,1413_MyIris,linear_discriminant
54,1526_wall-robot-navigation,decision_tree
55,40981_Australian,random_forest
56,796_cpu,gaussian_nb
57,461_analcatdata_creditscore,gradient_boosting
58,458_analcatdata_authorship,linear_discriminant
59,890_cloud,svm
60,1525_wall-robot-navigation,decision_tree
61,947_arsenic-male-bladder,logistic_regression
62,836_sleuth_case1102,random_forest
63,770_strikes,gradient_boosting
64,1029_LEV,random_forest
65,753_wisconsin,random_forest
66,40686_solar-flare,gaussian_nb
67,40708_allrep,linear_discriminant
68,40683_postoperative-patient-data,gaussian_nb
69,448_analcatdata_boxing1,linear_discriminant
70,16_mfeat-karhunen,kneighbors
71,1501_semeion,svm
72,950_arsenic-female-lung,gradient_boosting
73,744_fri_c3_250_5,random_forest
74,797_fri_c4_1000_50,gradient_boosting
75,811_rmftsa_ctoarrivals,gradient_boosting
76,743_fri_c1_1000_5,gradient_boosting
77,1099_EgyptianSkulls,gradient_boosting
78,893_visualizing_hamster,random_forest
79,912_fri_c2_1000_5,svm
80,778_bodyfat,random_forest
81,969_iris,logistic_regression
82,994_vehicle,random_forest
83,1117_desharnais,logistic_regression
84,715_fri_c3_1000_25,gradient_boosting
85,928_rabe_97,random_forest
86,1566_hill-valley,logistic_regression
87,934_socmob,gradient_boosting
88,1565_heart-h,gradient_boosting
89,329_hayes-roth,random_forest
90,1480_ilpd,gaussian_nb
91,813_fri_c3_1000_5,gradient_boosting
