21	19	ASC
0.72	0.73	0.73	0.73	0.74	0.74	0.76	0.73	0.72	0.73	0.75	0.74	0.68	0.74	0.73	0.73	0.66	0.73	0.74
0.81	0.80	0.80	0.80	0.81	0.81	0.80	0.81	0.80	0.81	0.80	0.79	0.78	0.79	0.77	0.78	0.77	0.78	0.82
0.74	0.76	0.76	0.76	0.76	0.76	0.76	0.74	0.75	0.75	0.75	0.73	0.73	0.74	0.76	0.68	0.69	0.68	0.75
0.63	0.66	0.64	0.64	0.63	0.65	0.64	0.64	0.65	0.64	0.64	0.57	0.57	0.57	0.58	0.63	0.63	0.63	0.63
0.70	0.69	0.69	0.70	0.70	0.70	0.71	0.69	0.70	0.70	0.70	0.64	0.64	0.64	0.70	0.66	0.67	0.66	0.70
0.81	0.84	0.84	0.84	0.83	0.83	0.83	0.83	0.82	0.82	0.83	0.81	0.81	0.81	0.82	0.84	0.82	0.84	0.84
0.91	0.99	0.99	0.99	0.95	0.95	0.95	0.93	0.96	0.95	0.95	0.86	0.86	0.86	0.98	0.92	0.96	0.92	0.98
0.89	0.92	0.92	0.91	0.92	0.92	0.91	0.88	0.92	0.91	0.90	0.81	0.85	0.81	0.82	0.94	0.90	0.94	0.93
0.56	0.59	0.61	0.60	0.58	0.59	0.60	0.56	0.56	0.56	0.56	0.55	0.55	0.55	0.56	0.58	0.55	0.58	0.60
0.77	0.80	0.80	0.80	0.80	0.80	0.79	0.77	0.79	0.79	0.79	0.64	0.72	0.64	0.75	0.79	0.75	0.79	0.78
0.91	0.94	0.94	0.95	0.94	0.95	0.93	0.92	0.93	0.93	0.93	0.90	0.87	0.90	0.94	0.91	0.87	0.91	0.94
0.85	0.86	0.86	0.86	0.87	0.87	0.85	0.85	0.86	0.87	0.86	0.83	0.83	0.83	0.87	0.85	0.79	0.85	0.86
0.91	0.91	0.92	0.91	0.92	0.93	0.92	0.91	0.92	0.92	0.92	0.90	0.89	0.90	0.90	0.93	0.92	0.93	0.93
0.76	0.76	0.76	0.76	0.77	0.77	0.76	0.76	0.76	0.77	0.76	0.75	0.75	0.75	0.76	0.69	0.71	0.69	0.75
0.62	0.63	0.63	0.63	0.64	0.64	0.62	0.62	0.62	0.64	0.63	0.62	0.61	0.62	0.64	0.64	0.63	0.64	0.62
0.81	0.86	0.86	0.86	0.86	0.86	0.85	0.83	0.82	0.83	0.83	0.81	0.81	0.81	0.86	0.83	0.84	0.83	0.87
0.89	0.91	0.91	0.91	0.91	0.91	0.90	0.90	0.90	0.90	0.90	0.88	0.88	0.88	0.88	0.75	0.78	0.75	0.90
0.89	0.96	0.96	0.96	0.96	0.96	0.92	0.89	0.92	0.92	0.91	0.78	0.78	0.78	0.96	0.94	0.94	0.94	0.88
0.92	0.94	0.94	0.94	0.94	0.94	0.94	0.93	0.93	0.94	0.93	0.93	0.92	0.93	0.94	0.94	0.93	0.94	0.94
0.83	0.84	0.84	0.84	0.84	0.84	0.84	0.83	0.83	0.83	0.82	0.82	0.82	0.82	0.81	0.76	0.78	0.77	0.83
0.71	0.73	0.73	0.73	0.73	0.73	0.73	0.72	0.71	0.72	0.72	0.71	0.71	0.71	0.72	0.72	0.71	0.72	0.73
