@relation aux
@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute class {'1','2'}
@data
-0.985636,0.058884,0.245698,-1.207346,1.135988,'1'
-1.688321,-1.228368,0.334559,1.073658,0.409526,'1'
1.327532,-1.391201,-0.495457,-0.4416,0.065807,'1'
1.272298,-1.170304,-0.192112,0.578137,-1.383125,'1'
-0.347877,1.31562,1.494802,-1.010239,-1.268105,'2'
-1.308109,-1.387426,-0.971749,-0.483821,0.045139,'1'
-0.000749,0.684761,-0.09205,0.095892,1.398949,'2'
0.19658,0.618764,1.48754,-1.298051,-0.236183,'2'
1.613302,0.541607,-0.040264,1.293477,-0.080722,'2'
0.980805,-0.349465,-1.076273,-0.027185,-0.66868,'2'
-1.127736,0.041576,0.175868,-0.151181,-0.692826,'1'
0.331215,0.869629,-1.419643,0.296122,-0.782625,'2'
0.766237,0.006663,-0.79052,1.43782,-1.664127,'2'
-0.319518,1.570712,0.469875,-0.524461,-1.087114,'2'
-1.606053,-0.410726,1.204858,-0.520379,-0.882167,'1'
1.215076,-1.191531,1.56884,1.615409,0.83767,'2'
1.170173,-0.906012,-0.279861,-0.786631,-1.427025,'1'
0.678726,0.5975,1.134369,-1.603969,-0.018723,'2'
0.479445,-0.886562,-1.034071,0.495429,-0.482098,'1'
0.450063,-0.507015,-1.538713,-1.659671,-0.399871,'1'
-0.734915,-0.640444,-0.361844,0.154296,-0.40374,'1'
0.719885,-0.892159,1.663985,0.650107,-0.614141,'2'
0.665648,0.225719,-1.654013,-1.264051,0.20835,'2'
-0.578712,1.410067,0.838592,0.41463,-1.085976,'2'
-0.824151,-0.454484,0.865258,-0.504904,-0.874733,'1'
0.966888,-0.993932,1.541031,0.48521,-1.208804,'2'
-1.735731,-1.568056,-1.373833,-1.282771,-1.187944,'1'
-0.526132,-0.50054,1.702833,-0.050621,-1.259378,'2'
1.22587,0.349584,-0.044959,1.659411,-0.571539,'2'
0.056368,-0.069658,-0.140604,0.557132,0.002855,'2'
0.237199,1.045678,0.373749,1.145972,-0.611781,'2'
-1.002637,0.276071,-0.286869,0.024074,-1.227116,'1'
-0.150025,-1.102759,-0.888788,-1.159173,-0.229619,'1'
-0.15436,-0.479752,-0.136469,0.480172,0.246541,'1'
0.618501,-0.885406,-0.315588,-1.500935,-1.043306,'1'
0.116562,1.567408,-0.998599,-1.627301,0.09577,'1'
-0.295076,0.823535,-0.684137,-1.311438,0.090784,'1'
0.737215,0.694047,1.709455,-0.611593,1.330467,'2'
-0.134133,-0.143925,1.016554,-0.44701,1.278926,'2'
1.340355,1.581262,-1.059518,0.605663,-1.130085,'2'
-0.892895,-1.269422,0.582689,-1.333294,-0.977944,'1'
0.106058,-1.198936,1.573823,-0.388235,-0.376686,'1'
-1.500187,1.116476,-0.183552,-0.775047,1.308371,'1'
0.053742,1.359919,-1.290844,-0.799421,-1.541793,'2'
1.402768,0.75521,-0.028696,-0.91309,-1.406252,'1'
0.267536,-0.898974,-1.480414,-0.980635,1.288143,'1'
-1.441712,0.608374,-0.973799,-1.362878,1.424556,'1'
-1.125975,-0.399057,1.303674,-0.15658,0.810916,'1'
0.603554,0.964275,1.566985,-0.085623,1.146102,'2'
-1.3284,-1.360227,0.284748,-0.186029,-1.233813,'1'
-1.718057,1.612704,-0.247061,0.301683,0.848032,'1'
-0.014216,0.81701,1.655063,-0.275695,0.882552,'2'
-0.168154,0.075231,-0.560401,-0.038957,-1.554937,'1'
0.563691,-1.126937,0.640518,-1.592014,-1.205701,'1'
1.459516,-0.49775,1.059289,0.532667,-0.404017,'2'
-1.684777,0.445937,1.348615,0.998786,0.151354,'1'
0.144294,-1.243456,0.877815,-0.683746,0.155836,'1'
-1.740211,-1.173833,-0.296868,-0.738468,-0.93516,'1'
0.600845,0.760472,0.21667,-0.993607,0.824356,'2'
0.945661,-1.227391,1.583741,-0.946908,-1.257242,'1'
-0.738629,-0.212817,-0.148315,-0.600375,0.930289,'1'
-0.795572,1.444783,-0.146336,-1.073318,-1.592755,'1'
-0.096219,-1.279643,-0.557297,0.883935,0.496937,'1'
-1.655444,0.964094,-1.209816,-0.941659,0.057761,'1'
1.333036,-1.289118,0.946485,0.20577,-1.098997,'1'
0.535563,0.511665,1.240481,0.091242,-0.655096,'2'
1.412051,-0.50289,1.603613,-1.551083,-1.181538,'2'
0.680671,0.884609,1.03328,0.792064,-0.320619,'2'
1.725184,1.659557,-1.39952,-1.107178,-0.577999,'1'
1.115797,-0.662451,0.373994,0.27854,0.692713,'2'
-0.379498,-1.472316,0.257219,0.790422,0.980739,'1'
-1.161733,0.478213,-0.610669,-1.707522,-1.595375,'1'
1.578825,-1.12468,-0.77701,-1.389342,-1.001847,'1'
-0.412548,-0.460976,-1.057912,-1.465556,-0.399957,'1'
-1.584067,1.262789,-0.534428,-0.713181,-1.353672,'1'
-0.811455,-1.396038,-0.787018,1.319733,-0.160325,'1'
1.038453,1.426863,0.0125,0.94993,1.76579,'2'
1.169686,-0.999249,-1.101873,1.293154,0.784985,'2'
-0.164834,1.680743,1.620897,0.050023,-0.858796,'2'
-0.813863,0.574267,-0.923747,1.505278,0.032805,'2'
0.264805,1.141403,-0.596008,-0.973864,-1.135321,'1'
-0.053858,1.572006,-0.266928,-1.0437,-0.78421,'1'
-0.660525,-0.456403,-1.474896,1.31072,0.735534,'2'
0.774833,-0.21,-0.662345,0.668115,-0.142126,'2'
0.121794,-1.526864,-1.330022,1.326533,-1.669727,'1'
-0.809807,-0.016948,-0.581531,0.094982,1.600641,'2'
-1.145643,0.787945,0.777743,-1.474473,1.770485,'1'
0.600824,0.246558,-1.458003,0.451651,0.229785,'2'
-0.885328,-1.645571,-0.286316,-0.312345,1.567621,'1'
-0.418848,-1.509317,0.567423,-1.002072,-1.426333,'1'
-0.662131,-1.421886,1.545865,1.617665,-1.156197,'1'
1.739231,1.476727,0.392368,0.013334,-0.98915,'1'
-1.361441,0.794414,1.255566,1.618676,1.649087,'2'
1.543294,-0.575134,1.503583,-1.449128,-1.085378,'2'
-0.491489,0.88243,0.785067,-1.657906,-0.57799,'1'
1.104422,0.219408,-0.128207,-0.396702,-1.475859,'1'
0.129981,0.944468,-1.369695,1.572689,-0.346709,'2'
-0.952553,-0.197724,1.029051,-1.455857,0.462001,'1'
1.356765,-1.562568,-0.004823,-1.507056,0.337219,'1'
-0.771849,1.671079,0.154105,0.313264,-0.648891,'1'
1.09895,0.389911,-1.112367,-0.862399,0.116596,'2'
-0.497433,-0.322596,-0.294685,0.875607,-1.68833,'1'
0.962589,0.886415,-1.13288,0.499038,1.178991,'2'
-1.629561,0.521933,1.632844,0.593175,-1.063074,'1'
1.549709,0.70557,-0.660414,0.253086,-1.685415,'2'
-0.893503,-0.728933,1.246066,-0.275808,0.304748,'1'
-1.340445,1.5199,-0.705859,0.034627,-1.635552,'1'
-1.277312,1.361736,-1.651618,-0.975835,1.246379,'2'
-0.044417,0.259328,1.528561,1.316466,1.292067,'2'
1.58178,-0.817619,0.054418,-0.587086,-1.688431,'1'
