@relation aux
@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute class {'1','2'}
@data
-0.238014,-0.164172,0.291026,-1.522292,1.046498,'2'
-0.803979,-0.660511,-0.327171,0.939448,0.017026,'2'
0.056138,-0.633789,1.401176,-1.073489,-0.160845,'2'
-1.541514,-0.8297,-1.697392,0.815114,-1.769413,'2'
0.340038,0.829686,-1.137919,1.289918,1.509665,'1'
0.662951,1.743674,-1.339943,-1.146158,0.103337,'1'
1.115875,0.613966,1.505853,0.498254,-1.764779,'1'
0.303512,0.532544,-0.634626,-1.006999,1.593877,'1'
0.724013,1.541529,-1.463936,1.60338,-1.342766,'1'
-0.494974,0.507324,-1.685331,1.114216,0.293998,'2'
0.350005,0.163172,0.651456,0.567559,-1.31617,'1'
-0.096743,0.020811,-0.518031,-0.093923,1.256198,'2'
0.437585,1.273382,-0.942706,0.512418,0.776507,'1'
0.951503,1.299151,-0.61944,-0.601695,0.546521,'1'
-0.959926,-0.944744,-0.401809,1.059152,-1.677725,'2'
1.012874,1.321684,-0.080386,-0.411145,0.574005,'1'
0.256916,0.741899,-0.500807,1.193627,0.907038,'1'
0.796347,0.664151,0.873221,1.63336,-1.445916,'1'
0.93558,1.059342,0.399962,-0.189588,0.13086,'1'
1.943426,1.704649,0.385076,-1.286284,-0.850871,'2'
0.532398,0.189831,0.417984,-1.409433,0.033957,'1'
-1.398533,-1.573637,-0.140521,-0.70356,1.178169,'1'
-0.622294,-1.338802,1.342315,-0.453821,-1.850035,'1'
1.227247,0.847722,1.3836,0.685026,0.696744,'1'
-1.463522,-1.580196,0.266261,0.784617,-0.011752,'1'
-0.735715,-0.180309,-1.301947,-1.095716,-0.482784,'2'
-0.582693,-1.320483,1.133362,0.9614,0.498707,'2'
1.018093,0.054174,1.559381,-1.315946,-1.214344,'1'
-1.733809,-1.060491,-1.01849,0.63431,-0.701598,'2'
0.388091,-0.210152,1.234785,-0.38776,1.589853,'2'
1.37902,1.082348,1.07821,0.805361,1.583012,'1'
-1.478952,-1.548249,0.128039,0.765163,0.648029,'1'
-0.346269,-0.544982,0.824676,0.87309,0.957651,'2'
0.220333,-0.584637,1.604075,1.106466,0.490615,'2'
-0.919796,-0.414953,-0.79988,-1.523453,-0.832918,'2'
-0.035083,-0.432228,1.223818,0.666959,-0.772154,'2'
1.844257,1.08257,1.517709,0.178111,-0.628255,'2'
-0.882235,-0.667874,-0.366477,-1.300931,-1.033583,'1'
0.451898,0.909913,-1.14756,-1.539147,0.324435,'1'
-0.695614,-0.594208,-0.391603,1.234129,0.45707,'2'
-0.090824,-0.624643,1.147668,-0.198403,-0.515888,'2'
-0.473383,-0.843324,0.729111,1.159161,1.510996,'2'
0.71419,0.924122,-0.311343,-0.436477,-1.682298,'1'
0.052476,0.800224,-1.138796,1.510357,0.038389,'1'
0.905423,1.175002,-0.217111,-1.123365,0.927087,'1'
0.002058,-0.500555,0.528886,-0.283972,0.113368,'2'
0.72315,1.194131,-0.479653,0.012642,-1.612941,'1'
-0.471277,-0.648357,0.148622,0.120749,0.24652,'2'
-0.31116,-0.358665,-0.420892,1.601126,0.646995,'2'
0.438571,-0.062845,1.186424,0.009536,-1.238158,'2'
0.985053,1.02339,-0.294865,0.126982,-0.195825,'1'
-0.003839,-0.020304,0.026025,0.42163,0.665558,'2'
-0.756546,-1.5724,1.142203,-1.195351,-1.832678,'1'
-2.264356,-1.660359,-1.668796,-1.525502,-1.202666,'1'
2.273315,1.661411,1.203541,-1.23193,0.164249,'2'
-0.910769,-0.025243,-1.426667,1.340226,-0.389719,'2'
-0.96049,-0.679806,-0.594097,-0.001233,1.428514,'2'
-0.047126,0.81854,-1.684235,0.899292,-1.554602,'2'
1.781168,1.476809,0.971736,-0.337915,1.23885,'2'
-1.561331,-1.090694,-1.771592,1.151914,1.41568,'2'
-0.282637,-0.818349,1.441097,1.227811,1.455313,'2'
1.33296,1.594223,-0.141344,0.721687,0.805569,'2'
-1.063696,-0.713849,-0.612313,1.088865,1.43679,'2'
1.812252,1.695002,0.976865,0.496127,-0.303022,'2'
0.824216,1.19936,-0.437387,0.798944,1.32736,'1'
0.385232,-0.373759,1.604827,-1.785858,-1.450342,'2'
-1.193493,-1.160085,-0.681978,0.083584,-0.791524,'1'
0.535979,1.148156,-1.027582,-0.222675,-0.063047,'1'
-0.276476,-0.252589,-0.012341,-1.702915,-1.748178,'1'
0.715579,0.415915,0.900745,-1.178204,-1.703508,'1'
-0.932047,-1.015522,-0.236131,-0.830153,0.922732,'1'
0.561929,0.005424,1.137552,0.739087,-0.13967,'2'
0.916979,0.596929,0.963751,1.230993,-1.556488,'1'
-0.593412,-1.469568,1.35743,0.381459,0.274946,'2'
2.02299,1.689703,0.663305,1.41224,1.602721,'2'
-0.756352,-0.631104,-1.047895,-0.889025,0.001534,'2'
0.03252,-0.020325,0.285737,-1.677753,0.469286,'1'
1.100319,0.97638,0.317745,-0.485818,1.632557,'1'
0.655987,0.524819,0.829805,0.403262,-0.106088,'1'
-0.041431,0.44313,-0.687859,-1.361701,1.298883,'1'
-0.74569,-0.682811,0.142345,0.009904,1.321542,'2'
0.86365,0.386606,0.809329,0.131533,-1.296543,'1'
1.081265,1.373561,-0.787487,0.182905,0.853562,'1'
-1.461669,-1.381912,-1.125091,-1.77459,1.294733,'1'
-0.213163,-0.124471,0.070718,1.31921,0.784912,'2'
-0.72336,-0.501454,-0.741742,0.536408,-1.660414,'2'
0.694767,0.553606,0.002602,-1.769914,-1.825457,'1'
-1.034564,-1.041989,-0.415728,1.082629,0.187689,'2'
-0.253598,-0.704643,0.668117,-1.193911,1.17956,'2'
-1.347944,-0.838693,-1.182253,1.302099,-1.48696,'2'
0.573095,1.404745,-1.508103,1.175221,-0.550593,'1'
-0.519984,-0.069136,-1.559862,-1.006045,0.121182,'2'
0.427915,1.439134,-1.709679,0.885367,0.31717,'1'
0.910071,1.076056,-0.163811,-0.223379,0.472738,'1'
0.154983,0.668806,-1.282214,-1.690729,0.076227,'1'
0.030044,0.268514,-0.644835,-0.017633,0.3659,'2'
0.947593,1.053605,-0.350779,0.085664,0.288292,'1'
-0.776097,-1.452254,1.012225,-0.974684,-1.208543,'1'
-0.376781,-1.008965,1.075453,-0.182357,1.064057,'2'
-0.682896,-0.649531,-0.446845,-1.552499,1.073783,'2'
0.021355,-0.672129,1.404427,-1.130464,-0.568215,'2'
0.408697,-0.375875,1.449444,0.35288,-1.227483,'2'
1.290401,1.275214,0.215726,-0.848938,1.116641,'1'
-2.019945,-1.537693,-1.091758,-1.368284,-1.074935,'1'
